Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,search terms,Comments,Project Targets/metrics
Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,1/15/10,9/30/13,Storage,https://scholar.google.com/citations?hl=en&user=WaH-1TwAAAAJ&view_op=list_works&sortby=pubdate,https://www.forbes.com/sites/aalsin/2018/08/24/qa-mit-professor-donald-sadoway-on-the-future-of-battery-storage-and-renewable-energies/#12ac361b2c62,,Electroville: Grid-Scale Batteries,Pivot,Donald Sadoway; liquid metal electrodes; ,"No commercialization to date?; Dec 2018 description of pivot from grid to mobile (Marine) application (https://www.maritime-executive.com/editorials/molten-metal-energy-storage-for-future-maritime-propulsion); 2014 Nature report on Sadoway's work, showing pivot to different type of liquid metal electrode(?) : https://www.nature.com/news/liquid-metal-batteries-get-boost-from-molten-lead-1.15967 ",
Phononic Devices,ALUMNI,For-profit,12/11/09,3/30/12,Storage,https://phononic.com/,https://arpa-e.energy.gov/?q=impact-sheet/phononic-devices-open-2009,,Improved Thermoelectric Devices,Persist,Phononic; waste heat thermoelectric; ,No mention of waste heat conversion on products page; Article on thermoelectric waste heat market lists Phononic as major player in 2018 https://www.globenewswire.com/news-release/2018/11/23/1655916/0/en/Global-Thermoelectric-Generators-Market-2018-2024-Opportunities-in-the-Increase-In-The-Demand-For-Thermoelectric-Generators-In-Medical-Devices-Growing-Industrial-Automation-Across-.html ,
"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,2/1/11,9/30/16,Storage,http://wirzresearchgroup.com/publications,,,Cost-Effective Solar Thermal Energy Storage,Pivot,Richard Wirz; supercritical fluid-based thermal energy storage solar,"Current focus on low temp systems, supercritical not mentioned in 2018 review article (http://www.wirz.seas.ucla.edu/sites/default/files/publications/nithyanandam2018heat-transfer-behavior-of-elemental-sulfur-for-low-temperature-thermalenergy-storage.pdf), and only on group page in old ARPAe research project description (http://wirzresearchgroup.com/solar)",
EaglePicher Technologies,CANCELLED,For-profit,2/1/10,3/31/16,Storage,https://www.eaglepicher.com/,,,Sodium-Beta Batteries for Grid-Scale Storage,Perish,EaglePicher; Na-beta battery;,"?? Na-beta batteries not on product list; grid storage not on website; 2014 did receive follow-on funding from ARPAe (https://www.prnewswire.com/news-releases/eaglepicher-technologies-continues-development-of-sodium-beta-battery-with-arpa-e-for-grid-scale-energy-storage-applications-254716941.html) ""This project could help establish a viable U.S. Na-Beta manufacturing industry. By 2013, the market for energy storage batteries is projected to exceed $1 billion, with the market for Na-Beta approaching $700 million.",
Alveo Energy,ALUMNI,For-profit,2/21/13,3/31/16,Storage,https://natron.energy/,,,Prussian Blue Dye Batteries,Persist,Alveo Energy; grid-scale storage battery; Prussian Blue dye ,Chevron invested in Natron 2019; Natron was founded as Alveo Energy in 2012 as a spin-out from research originally performed at Stanford University.(https://www.greencarcongress.com/2019/01/20190128-natron.html),
Harvard University,ALUMNI,Non-profit,2/1/13,3/25/17,Storage,https://arpa-e.energy.gov/?q=impact-sheet/harvard-flow-battery-open-2012,,,Organic Flow Battery for Energy Storage,Persist,Michael Aziz,"Still reporting research progress, but still seems a long way off from commercializable solution (https://www.sciencedaily.com/releases/2019/05/190528193015.htm)",
PolyPlus Battery Company,ALUMNI,For-profit,2/6/13,3/31/16,Storage,http://polyplus.com/,,,"Low-Cost, High-Performance Lithium-Sulfur Batteries",Persist,PolyPlus,"In co's pipeline, but at bottom of 4 chemistries (http://polyplus.com/product-pipeline/#product-5)",
Sharp Laboratories of America,ALUMNI,For-profit,3/28/13,3/27/16,Storage,http://www.sharplabs.com/index.php/item/101-energy,,,Sodium-Based Energy Storage,Persist,,"Low energy density as compared to LIB's keeps this tech in 'infancy' stage, assessment by a champion of NIB's (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5989704/)",
Teledyne Scientific & Imaging,ALUMNI,For-profit,2/4/13,1/31/14,Storage,http://www.teledyne-si.com/research-and-development/materials,,,High Energy Density Potassium-Based Flow Battery,Perish,,No evidence that Teledyne is continuing to pursue KIB's,
United Technologies Research Center (UTRC),ALUMNI,For-profit,2/12/13,3/31/16,Manufacturing Efficiency,,,,Additive Manufacturing for Electric Vehicle Motors,Persist,,"UT still active in additive manufacturing, but hard to track if specific to this applicaiton",
